GENDER	POVRTY	RACE	KINDER1	FMOTOR	GMOTOR	SCONTROL	INTERP	EXTERN	INTERN	GENERAL	MATH7	MOM_ED
1	2	1	1	7	5	3.25	2.6	1.4	2	23	0.89	3
1	2	1	1	8	8	3.5	3	1.6	1.25	42	2.09	6
1	1	1	1	7	8	4	3.4	1.2	1.25	29	1.22	3
1	2	1	1	2	1	3	3	1.6	1.25	12	1.54	6
2	2	1	1	5	8	2.75	3.2	1.8	1.25	40	2.1	7
2	2	1	1	8	7	3	3.2	1.6	1.5	28	1.32	5
1	2	1	1	7	2	3	3.4	1.4	1.5	25	1.24	3
2	2	1	1	9	8	3.5	3.2	1	1.25	24	1.9	9
1	2	1	1	3	6	3	3	1.8	2	16	1.62	5
1	1	1	1	9	7	3.75	3.2	1	1.25	41	2.07	3
2	2	1	1	8	8	3	3.2	2.2	1.25	33	1.45	6
1	2	1	1	7	4	3.5	3.8	1.2	1.25	32	1.98	6
2	2	1	1	4	3	3.25	2.8	2.4	2	23	1.14	3
2	2	1	1	7	7	3	2.8	1.6	1.25	26	1.84	6
2	2	1	1	7	8	4	4	1	1.25	22	2.19	6
1	2	1	1	6	8	3.5	2.8	1.4	1.25	24	1.46	3
2	2	1	1	6	8	4	3.6	1	1.25	30	1.91	8
2	2	1	1	7	8	3	3.2	1.4	1.5	26	1.98	7
2	2	1	1	8	6	4	3.6	1	1.75	35	1.83	3
1	2	1	1	6	2	3	2.8	1.6	1.75	19	0.93	3
1	2	1	1	7	5	3.25	2.8	1.2	1	21	1.02	3
2	2	1	1	7	7	4	4	1	1	38	1.81	6
1	2	1	2	2	2	2	1.6	3.8	2.75	28	1.58	5
1	2	1	1	7	8	3.25	2.75	1	1.33	31	1.31	6
1	2	1	1	8	6	4	2.8	1.2	1	39	2.2	5
1	2	1	1	9	7	3.67	2.8	1	1.5	35	1.68	5
1	2	1	1	6	6	3.25	2.8	1.2	1	29	1.38	5
2	2	1	1	5	7	3.75	4	1.2	1.25	39	1.79	8
1	2	1	1	3	6	3	2.4	1.8	1.5	17	1	3
2	2	4	1	7	8	3.5	3.4	1	1.25	23	2.42	6
1	2	1	1	9	8	3	3.6	1.6	1	36	1.57	7
1	2	2	1	3	6	2	2	3	2.5	23	1.49	2
2	1	1	1	6	6	3.25	3	1.8	2	22	1.39	2
1	2	1	1	5	5	3	3	1.6	1.25	23	1.17	2
